tweet,Axial code by 1st coder,Axial code revisited by 1st coder,Axial Code by 2nd Coder,Reliability,Final code
 The pandemic of COVID-19 has engulfed the entire world and has posed serious challenges for the health and economic security of millions of people worldwide So please give a donation Needy and poor person Download app PhonePe_ and donate PMCaresFunds SrBachchan iamsrk,REQUEST,REQUEST,Help Covid-19,1,REQUEST
 PMCaresFunds Covid_19,NULL,NULL,,1,NULL
 phonepe_ i4india covid19,NULL,NULL,,1,NULL
 Everyday is crucial in the battle against COVID-19 Everyday we need to be strong Everyday we need to be together Everyday we need to take the right precautions Everyday we need to be self-disciplined,HELP-COVID19,HELP-COVID19,,1,HELP-COVID19
 i4India Phonepe Covid19,NULL,NULL,,1,NULL
 COVID INDIA PM CARES FUND Phone pe i4 India s ,DONATION,DONATION,,1,DONATION
 Phone pe  Covid-19A uddhavthackeray OfficeofUT,NULL,NULL,Donation,0,NULL
 Hai very one this is Harish plz help has covid-19 People Got to the India no1 payment app PHONE PE and there PM FUNDS and donated there even also donated Thanks Regarding Harish Kumar N,REQUEST,REQUEST,,1,REQUEST
 covid stay home donate pm care fund social distencing to participate i sporte india,DONATION,DONATION,Help Covid-19,1,DONATION
 I support phonepe_ i4india covid_19 contribution to pm cares fund Plss Guyss Donate for India,REQUEST,REQUEST,Donation,1,REQUEST
 ItAAAs time to stand for India Join the i4India Movement and be there for your country AA Donate to the PMCARESFund When we stand together for India no fight is too big i4India covid EachRupeeCounts Donate here,DONATION,DONATION,Help Covid-19,1,DONATION
 i4India Covid_19 Contribute to PMCares fund Support,DONATION,DONATION,Donation,1,DONATION
 I support i4India Covid_19 Contribute to PMCares fund Support,DONATION,DONATION,Donation,1,DONATION
 Namaste INDIA Please Support as per your Capacity PhonePe_ i4India Covid_19 AAA,REQUEST,REQUEST,Donation,1,REQUEST
 Tweet from Vikas Punia Vikas11p Vikas Punia Vikas11p Tweeted PhonePe_ i4India Covid_19 Contribute to PMCares fund Support i4India s 20AA AAA,HELP-COVID19,HELP-COVID19,,0,HELP-COVID19
 Its good to see how indians are responding to there responsibilities towards nation and supporting government PhonePe_ against war from covid All indians united will surely win so plss donate atleat Rs so that PhonePe_ can add to it and hepls the nation to recover,DONATION,REQUEST,Appreciation,0,REQUEST
 PhonePeSupport P2004011644459222807291 Pls refund my money its emergency We do n t have money and i borrow from my friend for buying necessities Due to covid He is the only one who helped me and sent some money through phone pe But u guys took that money and not refunding it,COMPLAINT,COMPLAINT,Help Covid-19,0,COMPLAINT
 i4India Phonepe Covid19 PMCaresFund PhonePe kartejabadteja BeSafeGoDigital,DONATION,DONATION,Donation,1,DONATION
 i4India Phonepe Covid19 BeSafeGoDigital PMCaresFund StayHomeIndia PhonePe AAA,DONATION,DONATION,,0,DONATION
 PMCARES Citizens who want to donate and help the government against covid19 in India canvisit the officialwebsite and make a contribution Paymentscan be made through debit credit cards internetbanking UPI BHIM PhonePe AmazonPay GooglePay Paytm Mobiwik etc,DONATION,DONATION,Donation,1,DONATION
 Glad to know we are contributing for pmcare for Covid_19 and thanks full to PhonePe_ PaytmMall Paytm FreeCharge bharatpeindia ICICIBank_Care YESBANK NPCI_BHIM AAA,HELP-COVID19,HELP-COVID19,Donation,1,HELP-COVID19
 i4India Phonepe Covid19 AAA,DONATION,DONATION,,0,DONATION
 PhonePe IforIndia Campaign Coronavirus COVID19 AAA,DONATION,DONATION,,0,DONATION
 Digital payments major PhonePe on Friday announced the launch of a national movement called i4India after its to help India fight the extraordinary challenges posed by the Covid-19 pandemic went viral last week AAA Covid19,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 PMCaresFunds PhonePe India is fighting covid-19 with great bravery and in this phonepe is giving its full support and in this I appeal to all my friends that they too give their full contribution in the national interest,APPRECIATION,APPRECIATION,Help Covid-19,1,APPRECIATION
 Hello I Bijeshwar Mahto There is no better deed then serving others I Contributed to the PMCaresFunds in this hour of India battles Against COVID19 Requesting you All to join i4India DonateKaroNaIndia Aapke har Ek Donation per PhonePe PMCaresFunds ko de Raha,REQUEST,REQUEST,Donation,1,REQUEST
 i4India PhonePe PMCaresFunds India is fighting covid-19 with great bravery and in this phonepe is giving its full support and in this I appeal to all my friends that they too give their full contribution in the national interest,DONATION,DONATION,Donation,1,DONATION
 Fightforindia Iforindia Contributeagainst COVID19 Nation First Donate For INDIA PMCares JaiHind JAIBHARAT PMOIndia PMCares PhonePe_ Ammytejpal gotish Your each rupee is valuable Please Click one the link and Donate Bharat,DONATION,DONATION,Donation,1,DONATION
 Donate Kare Support Kare India Ko Covid19 Se Ladne Ke Liye Kam Se Kam Rupies Bhi Donate Kar Sakte Hai   Phonepe i4india PMCaresFund PhonePe App igshid cxvgvukacaoq,DONATION,DONATION,Donation,1,DONATION
 There is no better deed than serving others I contributed to the PMcaresfund in this hours of INDIAAAAs battle against COVID19 Requesting you all to join i4india PhonePe_ Kamal74991982 DonateKaroNaIndia  DEDonation PHONEPE PMcares  D,DONATION,DONATION,Donation,1,DONATION
 PhonePe will add Rs on every contribution of donation Let us battle to win over the COVID-19 Corona epidemic and make our India and fellow Indians safe and providedAA Please contribute and be a part to make i4India successful,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 PhonePe launches AAAi4IndiaAAA movement to fight Covid-19 AAA,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 AlhamdulillahAAAA Thanks to almighty Allah and all the people who are donating in this generous cause Please keep donating Phonepe Location Aligarh Muslim University COVID19Pandemic coronavirus CoronavirusPandemic COVID2019 COVID19 atikafarooqui,DONATION,DONATION,Donation,1,DONATION
 i4india PhonePe_ join the i4 india movement against covid,HELP-COVID19,HELP-COVID19,,1,HELP-COVID19
 Flipkart-owned PhonePe_ PhonePe recently announced about its social drive to contribute INR crore towards PM CARES Fund for Coronavirus relief All PhonePe users can donate INR using the UPI covid19 coronavirusoutbreak pmcaresfund AAA,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 Hon PM Shri narendramodi Sir I have also done my part with a small donation for fighting against COVID19 Please Donate a bit too Thanks AAAA PMCARES PMCaresFunds PMReliefFund COVID2019india PhonePe_ PhonePeSupport,DONATION,DONATION,Donation,1,DONATION
 phonepe_ i4india covid_19 Contribute and support our country and donate pmcares fund i4india jai hind jai bharat AAA,DONATION,DONATION,Donation,1,DONATION
 Come on India  Join phonepe_For Every Donation of Yours phonepe_Will contribute Rs 1 towards The PM CARES FUND   Via UPI_NPCI Crores Pledge Let fight Covid19 Donate KaroAAA igshid 1q5qt2qvnpccfAA AAA,DONATION,DONATION,Donation,1,DONATION
 Digital payments major PhonePe on Friday announced the launch of a national movement called i4India after its to help India fight the extraordinary challenges posed by the COVID19 pandemic went viral last week,DONATION,DONATION,Help Covid-19,1,DONATION
 Phonepe  rupees aanu premium Covid expense insurance coveR  days waiting period undu,NULL,NULL,Help Covid-19,0,HELP-COVID19
 PhonePe launches i4India movement to fight COVID-19 AAA,HELP-COVID19,HELP-COVID19,Help Covid-19,1,HELP-COVID19
 PhonePe_ narendramodi I contributed of India battle against COVID19 Requesting you all to do the small contribution as possible  Rno amount is too small so please join D i4India PMCaresFund EachRupeeCounts ,REQUEST,REQUEST,,0,REQUEST
 TATA PM CARE A PM CARE  PMOIndia PMOIndia nsitharaman COVID19 coronavirus aajtak republic,NULL,NULL,,1,NULL
 i4India PhonePe_ Join the i4 India movement and break the chain of Covid19,HELP-COVID19,HELP-COVID19,,0,HELP-COVID19
 crore pledge towards war against COVID-19 PhonePe,NULL,NULL,,1,NULL
 phonepe i4India Covid_19 PMCaresFund Support i4India AAA,HELP-COVID19,HELP-COVID19,,0,HELP-COVID19
